Order,PathIDs,Weight_of_path,Quarter,Route
4,188.0,1580299.2799999998,2019-Q3,Bay_Ridge_to_Sheepshead_Bay
5,71.0,1580299.2799999998,2019-Q3,Bay_Ridge_to_Sheepshead_Bay
6,72.0,1580299.2799999998,2019-Q3,Bay_Ridge_to_Sheepshead_Bay
7,91.0,1580299.2799999998,2019-Q3,Bay_Ridge_to_Sheepshead_Bay
8,149.0,1580299.2799999998,2019-Q3,Bay_Ridge_to_Sheepshead_Bay
9,210.0,1580299.2799999998,2019-Q3,Bay_Ridge_to_Sheepshead_Bay
0,14.0,1861606.3800000001,2019-Q4,Bay_Ridge_to_Sheepshead_Bay
1,67.0,1861606.3800000001,2019-Q4,Bay_Ridge_to_Sheepshead_Bay
2,26.0,1861606.3800000001,2019-Q4,Bay_Ridge_to_Sheepshead_Bay
3,89.0,1861606.3800000001,2019-Q4,Bay_Ridge_to_Sheepshead_Bay
4,188.0,1861606.3800000001,2019-Q4,Bay_Ridge_to_Sheepshead_Bay
5,71.0,1861606.3800000001,2019-Q4,Bay_Ridge_to_Sheepshead_Bay
6,72.0,1861606.3800000001,2019-Q4,Bay_Ridge_to_Sheepshead_Bay
7,91.0,1861606.3800000001,2019-Q4,Bay_Ridge_to_Sheepshead_Bay
8,149.0,1861606.3800000001,2019-Q4,Bay_Ridge_to_Sheepshead_Bay
9,210.0,1861606.3800000001,2019-Q4,Bay_Ridge_to_Sheepshead_Bay
0,14.0,1722110.6599999997,2020-Q1,Bay_Ridge_to_Sheepshead_Bay
1,227.0,1722110.6599999997,2020-Q1,Bay_Ridge_to_Sheepshead_Bay
2,26.0,1722110.6599999997,2020-Q1,Bay_Ridge_to_Sheepshead_Bay
3,89.0,1722110.6599999997,2020-Q1,Bay_Ridge_to_Sheepshead_Bay
4,188.0,1722110.6599999997,2020-Q1,Bay_Ridge_to_Sheepshead_Bay
5,72.0,1722110.6599999997,2020-Q1,Bay_Ridge_to_Sheepshead_Bay
6,71.0,1722110.6599999997,2020-Q1,Bay_Ridge_to_Sheepshead_Bay
7,91.0,1722110.6599999997,2020-Q1,Bay_Ridge_to_Sheepshead_Bay
8,149.0,1722110.6599999997,2020-Q1,Bay_Ridge_to_Sheepshead_Bay
9,210.0,1722110.6599999997,2020-Q1,Bay_Ridge_to_Sheepshead_Bay
0,14.0,891394.2099999998,2020-Q2,Bay_Ridge_to_Sheepshead_Bay
1,227.0,891394.2099999998,2020-Q2,Bay_Ridge_to_Sheepshead_Bay
2,26.0,891394.2099999998,2020-Q2,Bay_Ridge_to_Sheepshead_Bay
3,89.0,891394.2099999998,2020-Q2,Bay_Ridge_to_Sheepshead_Bay
4,188.0,891394.2099999998,2020-Q2,Bay_Ridge_to_Sheepshead_Bay
5,72.0,891394.2099999998,2020-Q2,Bay_Ridge_to_Sheepshead_Bay
6,71.0,891394.2099999998,2020-Q2,Bay_Ridge_to_Sheepshead_Bay
7,91.0,891394.2099999998,2020-Q2,Bay_Ridge_to_Sheepshead_Bay
8,149.0,891394.2099999998,2020-Q2,Bay_Ridge_to_Sheepshead_Bay
9,210.0,891394.2099999998,2020-Q2,Bay_Ridge_to_Sheepshead_Bay
0,14.0,1501416.2400000002,2020-Q3,Bay_Ridge_to_Sheepshead_Bay
1,227.0,1501416.2400000002,2020-Q3,Bay_Ridge_to_Sheepshead_Bay
2,26.0,1501416.2400000002,2020-Q3,Bay_Ridge_to_Sheepshead_Bay
3,89.0,1501416.2400000002,2020-Q3,Bay_Ridge_to_Sheepshead_Bay
4,188.0,1501416.2400000002,2020-Q3,Bay_Ridge_to_Sheepshead_Bay
5,72.0,1501416.2400000002,2020-Q3,Bay_Ridge_to_Sheepshead_Bay
6,71.0,1501416.2400000002,2020-Q3,Bay_Ridge_to_Sheepshead_Bay
7,91.0,1501416.2400000002,2020-Q3,Bay_Ridge_to_Sheepshead_Bay
8,149.0,1501416.2400000002,2020-Q3,Bay_Ridge_to_Sheepshead_Bay
9,210.0,1501416.2400000002,2020-Q3,Bay_Ridge_to_Sheepshead_Bay
0,14.0,1460367.83,2020-Q4,Bay_Ridge_to_Sheepshead_Bay
1,227.0,1460367.83,2020-Q4,Bay_Ridge_to_Sheepshead_Bay
2,26.0,1460367.83,2020-Q4,Bay_Ridge_to_Sheepshead_Bay
3,89.0,1460367.83,2020-Q4,Bay_Ridge_to_Sheepshead_Bay
4,188.0,1460367.83,2020-Q4,Bay_Ridge_to_Sheepshead_Bay
5,72.0,1460367.83,2020-Q4,Bay_Ridge_to_Sheepshead_Bay
6,71.0,1460367.83,2020-Q4,Bay_Ridge_to_Sheepshead_Bay
7,91.0,1460367.83,2020-Q4,Bay_Ridge_to_Sheepshead_Bay
8,149.0,1460367.83,2020-Q4,Bay_Ridge_to_Sheepshead_Bay
9,210.0,1460367.83,2020-Q4,Bay_Ridge_to_Sheepshead_Bay
0,14.0,1697554.8500000003,2021-Q1,Bay_Ridge_to_Sheepshead_Bay
1,227.0,1697554.8500000003,2021-Q1,Bay_Ridge_to_Sheepshead_Bay
2,26.0,1697554.8500000003,2021-Q1,Bay_Ridge_to_Sheepshead_Bay
3,89.0,1697554.8500000003,2021-Q1,Bay_Ridge_to_Sheepshead_Bay
4,188.0,1697554.8500000003,2021-Q1,Bay_Ridge_to_Sheepshead_Bay
5,72.0,1697554.8500000003,2021-Q1,Bay_Ridge_to_Sheepshead_Bay
6,71.0,1697554.8500000003,2021-Q1,Bay_Ridge_to_Sheepshead_Bay
7,91.0,1697554.8500000003,2021-Q1,Bay_Ridge_to_Sheepshead_Bay
8,149.0,1697554.8500000003,2021-Q1,Bay_Ridge_to_Sheepshead_Bay
9,210.0,1697554.8500000003,2021-Q1,Bay_Ridge_to_Sheepshead_Bay
0,14.0,1876430.1299999997,2021-Q2,Bay_Ridge_to_Sheepshead_Bay
1,227.0,1876430.1299999997,2021-Q2,Bay_Ridge_to_Sheepshead_Bay
2,26.0,1876430.1299999997,2021-Q2,Bay_Ridge_to_Sheepshead_Bay
3,89.0,1876430.1299999997,2021-Q2,Bay_Ridge_to_Sheepshead_Bay
4,188.0,1876430.1299999997,2021-Q2,Bay_Ridge_to_Sheepshead_Bay
5,72.0,1876430.1299999997,2021-Q2,Bay_Ridge_to_Sheepshead_Bay
6,71.0,1876430.1299999997,2021-Q2,Bay_Ridge_to_Sheepshead_Bay
7,91.0,1876430.1299999997,2021-Q2,Bay_Ridge_to_Sheepshead_Bay
8,149.0,1876430.1299999997,2021-Q2,Bay_Ridge_to_Sheepshead_Bay
9,210.0,1876430.1299999997,2021-Q2,Bay_Ridge_to_Sheepshead_Bay
0,14.0,1745451.79,2021-Q3,Bay_Ridge_to_Sheepshead_Bay
1,228.0,1745451.79,2021-Q3,Bay_Ridge_to_Sheepshead_Bay
2,257.0,1745451.79,2021-Q3,Bay_Ridge_to_Sheepshead_Bay
3,89.0,1745451.79,2021-Q3,Bay_Ridge_to_Sheepshead_Bay
4,188.0,1745451.79,2021-Q3,Bay_Ridge_to_Sheepshead_Bay
5,72.0,1745451.79,2021-Q3,Bay_Ridge_to_Sheepshead_Bay
6,71.0,1745451.79,2021-Q3,Bay_Ridge_to_Sheepshead_Bay
7,91.0,1745451.79,2021-Q3,Bay_Ridge_to_Sheepshead_Bay
8,149.0,1745451.79,2021-Q3,Bay_Ridge_to_Sheepshead_Bay
9,210.0,1745451.79,2021-Q3,Bay_Ridge_to_Sheepshead_Bay
0,14.0,1784951.86,2021-Q4,Bay_Ridge_to_Sheepshead_Bay
1,67.0,1784951.86,2021-Q4,Bay_Ridge_to_Sheepshead_Bay
2,26.0,1784951.86,2021-Q4,Bay_Ridge_to_Sheepshead_Bay
3,89.0,1784951.86,2021-Q4,Bay_Ridge_to_Sheepshead_Bay
4,188.0,1784951.86,2021-Q4,Bay_Ridge_to_Sheepshead_Bay
5,72.0,1784951.86,2021-Q4,Bay_Ridge_to_Sheepshead_Bay
6,71.0,1784951.86,2021-Q4,Bay_Ridge_to_Sheepshead_Bay
7,91.0,1784951.86,2021-Q4,Bay_Ridge_to_Sheepshead_Bay
8,149.0,1784951.86,2021-Q4,Bay_Ridge_to_Sheepshead_Bay
9,210.0,1784951.86,2021-Q4,Bay_Ridge_to_Sheepshead_Bay
0,14.0,1720044.0,2022-Q1,Bay_Ridge_to_Sheepshead_Bay
1,227.0,1720044.0,2022-Q1,Bay_Ridge_to_Sheepshead_Bay
2,26.0,1720044.0,2022-Q1,Bay_Ridge_to_Sheepshead_Bay
3,89.0,1720044.0,2022-Q1,Bay_Ridge_to_Sheepshead_Bay
4,188.0,1720044.0,2022-Q1,Bay_Ridge_to_Sheepshead_Bay
5,72.0,1720044.0,2022-Q1,Bay_Ridge_to_Sheepshead_Bay
